SupplierID,Name,Address,Phone,IsDeleted
1,Book Verdone e figli,"Canale Corbo, 3, 09027, Serrenti (SU)",0541534282,0
2,Editore Coppola SPA,"Piazza Mengolo, 9, 98028, Barracca (ME)",098417953,0
3,Libri Bignami-Opizzi Group,"Contrada Toni, 75 Appartamento 75, 31100, Fiera (TV)",+39 058705420,0
4,Feltrinelli Adinolfi Group,"Viale Brichese, 46, 41055, Bertocchi (MO)",0309163081,0
5,Distribuzione Anichini-Conte e figli,"Vicolo Agostinelli, 0 Piano 4, 00193, Roma (RM)",+39 0544536303,0
6,"Libri Boezio, Filzi e Serao s.r.l.","Borgo Lercari, 96, 35128, Padova (PD)",+39 043128302,0
7,Feltrinelli Squarcione-Ruberto e figli,"Borgo Camillo, 28 Appartamento 5, 20018, Sedriano (MI)",+39 3517947662,0
8,"Mondadori Ferragni, Sagnelli e Gozzano Group","Via Ugolino, 26 Appartamento 76, 23020, Mese (SO)",37133734918,0
9,"Book Smirnoff, Cafarchia e Verdi e figli","Via Benedetti, 74, 12046, San Rocco Monta' (CN)",0965891016,0
10,Feltrinelli Trezzini s.r.l.,"Viale Malatesta, 516 Appartamento 7, 83036, Mirabella Eclano (AV)",377017931,0
