CouponID,CouponName,CouponDescription,PercentDiscount,ExpirationDate
1,SAVE40,Treno notare volto dipendere perfino ministro colore caro badare storia.,5,2025-11-12
2,DINNER42,Angolo inverno origine nome oppure porto.,30,2026-01-18
3,WEEKEND13,Don già comprare vestire nostro signore.,30,2026-08-27
4,SAVE37,Riempire portare aprire latte cristiano quello disposizione.,12,2025-11-14
5,HAPPY30,Insieme effetto treno smettere necessità vasto produzione mostrare tutto perdere,25,2026-08-20
6,FAMILY41,Dopo campagna settimana bene qualche vero dentro assistere fissare.,20,2026-03-24
7,SAVE39,Nord dunque presso potere cattivo.,5,2026-09-23
8,FAMILY46,Ottenere avanti accorgersi iniziare domandare.,10,2026-05-09
9,SPRING12,Rosso dimenticare abitare distruggere cioè dedicare cultura porto intendere.,12,2026-09-18
10,HAPPY30Y,Sede lungo lontano memoria vestire indietro.,5,2026-05-30
11,SPRING32,Luna stringere dubbio chiedere annunciare problema trascinare stato misura.,10,2026-08-08
12,FAMILY14,Repubblica né motivo nave ancora non sostenere.,25,2025-11-19
13,VIP48,Richiedere offendere stasera sentire.,12,2026-01-20
14,VIP24,Lingua ascoltare classe primo immagine infine.,12,2026-09-27
15,PIZZA32,Fresco partito figura soldato questione occhio tono tanto futuro diventare favor,5,2026-04-15
